Q,A
재학 증명서나 졸업 증명서 같은 서류는 무료로 발급을 못 하나요?,"무료로 발급되는 곳은 없으며, 홍지관 3층에 자동 발급기가 있습니다."
재학 증명서나 졸업 증명서 같은 서류는 어디서 발급 받을 수 있나요?,"무료로 발급되는 곳은 없으며, 홍지관 3층에 자동 발급기가 있습니다."
재학 증명서나 졸업 증명서 같은 서류는 온라인에서 발급 받을 수 있나요?,"무료로 발급되는 곳은 없으며, 홍지관 3층에 자동 발급기가 있습니다."
BEACE 활동으로 학점을 얻을 수 있나요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
비에이스 활동으로 학점을 얻을 수 있나요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
beace 활동으로 학점을 얻을 수 있나요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
비에이스 점수 100점을 쌓으면 1학점을 주는 건 가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
BEACE 점수 100점을 쌓으면 1학점을 주는 건 가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
beace 점수 100점을 쌓으면 1학점을 주는 건 가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
비에이스 점수 100점당 1학점인가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
BEACE 점수 100점당 1학점 인가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
beace 점수 100점당 1학점 인가요?,"네, BeACE점수 100점당 1학점으로 계산이 됩니다!"
재수강 하려는 과목이 없어졌는데 다시 수강할 방법이 없나요?,"네, 학수번호가 사라졌기 때문에, 다른 과목으로 채우시면 됩니다."
재수강 하려는 과목이 사라졌는데 다시 수강할 방법이 없나요?,"네, 학수번호가 사라졌기 때문에, 다른 과목으로 채우시면 됩니다."
재수강 하려는 과목이 사라졌는데 어떻게 학점을 채워야하나요?,"네, 학수번호가 사라졌기 때문에, 다른 과목으로 채우시면 됩니다."
재수강 하려는 과목이 없어졌는데 어떻게 학점을 채워야하나요?,"네, 학수번호가 사라졌기 때문에, 다른 과목으로 채우시면 됩니다."
교내 식당 학식 메뉴들의 가격대는 어떻게 되나요?,"학식 메뉴는 매일 바뀌며, 3000 ~ 5000원 사이의 가격으로 나옵니다."
학식당에서 학식을 얼마주고 먹을 수 있나요?,"학식 메뉴는 매일 바뀌며, 3000 ~ 5000원 사이의 가격으로 나옵니다."
학식당 메뉴는 어떻게 구성되나요?,"학식 메뉴는 매일 바뀌며, 3000 ~ 5000원 사이의 가격으로 나옵니다."
학생 식당 가격대는 어떻게 되나요?,"학식 메뉴는 매일 바뀌며, 3000 ~ 5000원 사이의 가격으로 나옵니다."
학생 식당 메뉴는 뭐있나요?,"학식 메뉴는 매일 바뀌며, 3000 ~ 5000원 사이의 가격으로 나옵니다."
학식 메뉴는 뭐 있나요?,"학식 메뉴는 매일 바뀌며, 3000 ~ 5000원 사이의 가격으로 나옵니다."
학교내에 카페가 있나요?,"교내에 카페는 홍지관 3층, 생활관 1층에 있습니다."
교내에 카페가 있나요?,"교내에 카페는 홍지관 3층, 생활관 1층에 있습니다."
학교 내에 카페가 어디에 있나요?,"교내에 카페는 홍지관 3층, 생활관 1층에 있습니다."
교내 카페가 어디에 있나요?,"교내에 카페는 홍지관 3층, 생활관 1층에 있습니다."
학교 내에 프린트기를 사용할 수 있는 공간이 있을까요?,"학과 사무실에 이야기하여 무료로 사용하는 법도 있지만, 스마트 스테이션, 에이스 스테이션, 수암도서관, 잡스테이션 등 여러 공간에서 프린트기 사용이 가능합니다! 비용은 프린트 옆에 적혀있습니다."
교내에 프린트기를 사용할 수 있는 공간이 있을까요?,"학과 사무실에 이야기하여 무료로 사용하는 법도 있지만, 스마트 스테이션, 에이스 스테이션, 수암도서관, 잡스테이션 등 여러 공간에서 프린트기 사용이 가능합니다! 비용은 프린트 옆에 적혀있습니다."
프린트를 할 수 있는 곳이 있을까요?,"학과 사무실에 이야기하여 무료로 사용하는 법도 있지만, 스마트 스테이션, 에이스 스테이션, 수암도서관, 잡스테이션 등 여러 공간에서 프린트기 사용이 가능합니다! 비용은 프린트 옆에 적혀있습니다."
"프린트기를 사용할때, 요금은 어떻게 되나요?","학과 사무실에 이야기하여 무료로 사용하는 법도 있지만, 스마트 스테이션, 에이스 스테이션, 수암도서관, 잡스테이션 등 여러 공간에서 프린트기 사용이 가능합니다! 비용은 프린트 옆에 적혀있습니다."
프린트물을 출력할 공간이 있나요?,"학과 사무실에 이야기하여 무료로 사용하는 법도 있지만, 스마트 스테이션, 에이스 스테이션, 수암도서관, 잡스테이션 등 여러 공간에서 프린트기 사용이 가능합니다! 비용은 프린트 옆에 적혀있습니다."
총장 간담회는 필수로 가야하나요?,"신입생은 필수로 참석하며, 재학생은 선택적 참여입니다."
총장간담회는 무조건 참석을 해야하는 건가요?,"신입생은 필수로 참석하며, 재학생은 선택적 참여입니다."
사물함은 어떻게하면 사용이 가능한가요?,"사물함은 있는 학과가 있고, 없는 학과가 있기 때문에, 학과 내부 사정에 따라 다릅니다."
사물함은 모든 학과에 있나요?,"사물함은 있는 학과가 있고, 없는 학과가 있기 때문에, 학과 내부 사정에 따라 다릅니다."
시간표는 어떻게 짜나요?,"학교에서 정해준게 존재하나 1학년 1학기를 제외한 학년은 타수강 신청으로 조정이 가능합니다.
수강신청 1주일전에 공지가 됩니다. 만약 없으시면 학과에 문의하시기 바랍니다."
시간표를 어떻게 할까요?,"학교에서 정해준게 존재하나 1학년 1학기를 제외한 학년은 타수강 신청으로 조정이 가능합니다.
수강신청 1주일전에 공지가 됩니다. 만약 없으시면 학과에 문의하시기 바랍니다."
시간표를 짜주나요?,"학교에서 정해준게 존재하나 1학년 1학기를 제외한 학년은 타수강 신청으로 조정이 가능합니다.
수강신청 1주일전에 공지가 됩니다. 만약 없으시면 학과에 문의하시기 바랍니다."
시간표를 직접 짤수 있나요?,"학교에서 정해준게 존재하나 1학년 1학기를 제외한 학년은 타수강 신청으로 조정이 가능합니다.
수강신청 1주일전에 공지가 됩니다. 만약 없으시면 학과에 문의하시기 바랍니다."
시간표는 어떻게 구성하나요?,"학교에서 정해준게 존재하나 1학년 1학기를 제외한 학년은 타수강 신청으로 조정이 가능합니다.
수강신청 1주일전에 공지가 됩니다. 만약 없으시면 학과에 문의하시기 바랍니다."
수강신청 시간표는 어떻게 보나요?,"학교에서 정해준게 존재하나 1학년 1학기를 제외한 학년은 타수강 신청으로 조정이 가능합니다.
수강신청 1주일전에 공지가 됩니다. 만약 없으시면 학과에 문의하시기 바랍니다."
시간표는 언제 나오나요?,"학교에서 정해준게 존재하나 1학년 1학기를 제외한 학년은 타수강 신청으로 조정이 가능합니다.
수강신청 1주일전에 공지가 됩니다. 만약 없으시면 학과에 문의하시기 바랍니다."
시간표를 언제 확인 할수 있나요?,"학교에서 정해준게 존재하나 1학년 1학기를 제외한 학년은 타수강 신청으로 조정이 가능합니다.
수강신청 1주일전에 공지가 됩니다. 만약 없으시면 학과에 문의하시기 바랍니다."
학생경비 필수인가요? 그리고 어떤식으로 쓰이나요?,"학생경비는 선택이며, 학생 경비는 학생회/대의원회 운영비로 사용됩니다."
등록금 옆에있는 학생경비를 내야하나요?,"학생경비는 선택이며, 학생 경비는 학생회/대의원회 운영비로 사용됩니다."
학생경비는 어디에 사용되나요?,"학생경비는 선택이며, 학생 경비는 학생회/대의원회 운영비로 사용됩니다."
수강신청은 홈페이지 어디에서 확인할수 있나요?,"학생 포탈시스템에서 확인할수 있으며, 신청기간에만 사이트에서 확인 가능합니다."
수강신청은 어디에 있나요?,"학생 포탈시스템에서 확인할수 있으며, 신청기간에만 사이트에서 확인 가능합니다."
홈페이지 어디에 수강신청이 있나요?,"학생 포탈시스템에서 확인할수 있으며, 신청기간에만 사이트에서 확인 가능합니다."
졸업학기에 취업을 하기 위하여 상담이 진행되나요?,졸업학기에 전담 교수님과의 상담을 통해 취업준비를 합니다.
졸업전에 취업을 위해 상담을 하나요?,졸업학기에 전담 교수님과의 상담을 통해 취업준비를 합니다.
취업을 위해 상담을 진행 하나요?,졸업학기에 전담 교수님과의 상담을 통해 취업준비를 합니다.
취업 마렵다,졸업학기에 전담 교수님과의 상담을 통해 취업준비를 합니다.
학생식당은 언제 열고 닫나요?,평일 중식은 11:30 ~ 14:00까지 석식은 17:00 ~ 19:00까지 입니다.
식당은 몇시부터 갈 수 있나요?,평일 중식은 11:30 ~ 14:00까지 석식은 17:00 ~ 19:00까지 입니다.
학생식당은 몇시부터 식사를 할수 있나요?,평일 중식은 11:30 ~ 14:00까지 석식은 17:00 ~ 19:00까지 입니다.
학생식당은 언제 갈수 있을까요?,평일 중식은 11:30 ~ 14:00까지 석식은 17:00 ~ 19:00까지 입니다.